Inventory Report
-----------------------------------------------------------------------------------------------------------
Make+Model                     Description                    Part#             Price   Quantity      Value
Triumph+Tiger                  FILLISTER-HEAD SCREW           32722333066        3.14        248     778.72
Honda+CB1100                   FLAT NUT                       6637659955         2.45        583   1,428.35
Ducati+Monster 696             FOOTPEG PLATE RIGHT            6718534960       319.95          5   1,599.75
Suzuki+V-Strom                 FOOTREST PLATE LEFT            6718534959       331.18          7   2,318.26
BMW+R75/5                      FOOTREST, LEFT                 6717700913        80.31         13   1,044.03
Honda+CB1100                   FOOTREST, RIGHT                6717700914        80.31          1      80.31
Suzuki+V-Strom                 FUEL PUMP UNIT WITH LEVER SE   6147723935       504.35          1     504.35
BMW+R75/5                      FUEL PUMP, ELECTRONIC          6148523262       192.86          8   1,542.88
Suzuki+V-Strom                 GASKET                         6117677883        11.23         15     168.45
Triumph+Tiger                  HEAT EXCHANGER, BLACK          1538524136       195.02          1     195.02
Honda+CB1100                   HEX NUT                        7119904920         2.37        465   1,102.05
Harley Davidson+Sportster      HOSE                           7217686971         7.79        279   2,173.41
Harley Davidson+Sportster      HOSE CLAMP                     1731277848         6.14        264   1,620.96
BMW+R75/5                      HOSE RUNNING METER             3547709426        35.56         18     640.08
Suzuki+V-Strom                 ISA SCREW                      7129907374         5.61        198   1,110.78
Ducati+Monster 696             ISA SCREW                      7129907375         5.02        444   2,228.88
Triumph+Tiger                  ISA SCREW                      7129905601         3.53        935   3,300.55
Harley Davidson+Sportster      ISA SCREW                      7129904260         3.44        580   1,995.20
Honda+CB1100                   ISA SCREW                      7129904261         3.44        323   1,111.12
Ducati+Monster 696             ISA SCREW                      7129906038         3.43        163     559.09
Yamaha+Bolt                    ISA SCREW                      7129905769         2.63        523   1,375.49
BMW+R75/5                      ISA SCREW                      7129904700         2.48        795   1,971.60
BMW+R75/5                      ISA SCREW                      7129903807         2.27        663   1,505.01
Triumph+Tiger                  ISA SCREW WITH WASHER          7129905537         2.68        281     753.08
BMW+R75/5                      LAMP LENS                      3138534351        18.62         44     819.28
Suzuki+V-Strom                 LAMP LENS                      3138534350        18.61         61   1,135.21
Suzuki+V-Strom                 MICROSWITCH                    61317671111       36.42         24     874.08
Honda+CB1100                   NIPPLE                         1447687378        37.75          2      75.50
Yamaha+Bolt                    O-RING                         1447687367         2.18        830   1,809.40
Suzuki+V-Strom                 O-RING                         1117694729         1.72        297     510.84
Harley Davidson+Sportster      OIL FILTER, BLACK              1427719357        15.09        175   2,640.75
Ducati+Monster 696             OVAL HEAD SCREW                4117672808         2.95        325     958.75
Suzuki+V-Strom                 PIN                            6717668644        10.51         47     493.97
Triumph+Tiger                  PLASTIC BUSH                   5417674080         2.14        163     348.82
Ducati+Monster 696             PREFORMED SEAL                 1447687365         8.16         66     538.56
Ducati+Monster 696             REPAIR KIT FOR JERK DAMPER     7727711036       108.88          9     979.92
Honda+CB1100                   RETAINER SPRING                6717660163         4.08        138     563.04
Triumph+Tiger                  RING                           1427677987         3.51        291   1,021.41
Suzuki+V-Strom                 ROLL PIN                       1412343108         7.44        114     848.16
Yamaha+Bolt                    SAFETY CLIP                    7119987611         1.82        593   1,079.26
Triumph+Tiger                  SCREW                          6147713360         0.99        242     239.58
Suzuki+V-Strom                 SCREW CAP                      6116760285        10.31        114   1,175.34
BMW+R75/5                      SCREW PLUG                     1447687368         2.72        135     367.20
Triumph+Tiger                  SELECTOR ROD                   3418522956        47.78         21   1,003.38
Ducati+Monster 696             SELF-LOCKING HEX NUT           32727680378        3.78        238     899.64
BMW+R75/5                      SHEET METAL SCREW              7119906189         1.02        686     699.72
Triumph+Tiger                  SHIFT LEVER, SILVER            3417688853       169.15          5     845.75
Suzuki+V-Strom                 SHIFT LEVER, SILVER            3417689019        83.95          6     503.70
Honda+CB1100                   SLEEVE                         32727673990        9.05         53     479.65
Yamaha+Bolt                    SLEEVE                         1427677988         2.42         40      96.80
Suzuki+V-Strom                 SPRING RING SHELL              7127696377         5.09        269   1,369.21
Ducati+Monster 696             STEERING DAMPER                1427653149       388.09          5   1,940.45
Honda+CB1100                   STOPPER                        6712330765         8.03         84     674.52
Yamaha+Bolt                    STRAINER                       6147708314        80.28          5     401.40
BMW+R75/5                      SUPPORTING RING                6141182903         9.87        104   1,026.48
Suzuki+V-Strom                 TOOTH BELT                     3838521719       510.12          3   1,530.36
Yamaha+Bolt                    TORX BOLT                      2317707433         2.57        646   1,660.22
Suzuki+V-Strom                 TORX BOLT                      3007690404         2.14       1465   3,135.10
Triumph+Tiger                  TURN INDICATOR                 3138534352        72.05         19   1,368.95
Yamaha+Bolt                    TURN INDICATOR                 3138534353        72.05          5     360.25
Honda+CB1100                   VOLTAGE REGULATOR              1312346550       188.76          8   1,510.08
Triumph+Tiger                  WASHER                         7727706469        19.85         27     535.95
Honda+CB1100                   WASHER                         7119907030         6.95         71     493.45
Yamaha+Bolt                    WASHER                         7119904164         2.95        380   1,121.00
BMW+R75/5                      WOODRUFF KEY                   1272343243         4.91        580   2,847.80
Value of current inventory: $107,593.56
